id,name,mac_address,serial_num,ip_address,mspec_id,public_key,key_index,sign_public_key,sign_key_index,zone_code,regcntr_id,lang_code,is_active,cr_by,cr_dtimes
10004,techno-197,F3-DB-84-00-FB-A1,FB5962911686,192.168.0.423,1001,MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvLYkis3X4h5LFkJDXwvHp+2pQeJCZlJXkdTKHD1KRTm89GrpYX0u8skiOr9s7as2+bEqifgaY4fazCOZdBC3P0aDnh+S442kih4TRT8QElc6XonzUaUUWfa2kl11kgIJXijV7IbWRkH2N2afhPxCoLZA/rip/dGWMux6ukbJWKYkv/XXuGDIhTwA1CaYgtzxDuTLhbaYTBWJu61cHuLDqPiFepZ0+2woe0DQ+92tkIyy0cZlCBHHCoTAjLUqzoAIg95welYo333jIqZ+vtgq+pY1aCgrDXdpue0CUy9bOaiZ4WA6jK6i0LrWkR88jdsbxqffbyia1TWxTGAXv5zlrQIDAQAB,4D:03:E4:3A:A4:60:88:BF:1A:68:D7:FC:C5:65:4C:CA:13:2B:55:C4:6A:F2:46:5B:68:B5:46:41:F0:66:45:18,,,CK,10002,fra,TRUE,superadmin,now()
10005,Techno-359,61-D3-FD-12-C9-ED,FB5962911687,192.168.0.424,1001,AAEACwACAHIAIINxl2dEhLP4GpDMjUal1yT9UtduBlILZPKh2hszFGmqABAAFwALCAAAAQABAQDeZhdhIpXoO5cD6_ueaJUciEyHMnahhclliyr7opyTiY8WCzPw6HqBV375o4NbX74C1hlYTcGUWE233uNoyLoHXMPWdURXcc37YdLcd-XbbeH3Ph2GlCNiEcVYJGK4CsE5nGEyUEIgYeP9H4EN9l9LiTNMm0KoBrZHVol6AvQkgXIiYP3UhuOp0i8tEgyNDlZaMsXYEZzkDqjiSWDtxvuwx8mrnXkbY75evYv5cSsV3q6ALUZoSnu4O6r2fNT_4eeFtZnL2o7_FNsfli05CZ8-ZcJaz38bviR0NxbWMbQfDajAqgkz5NFAWsIX7QlkWlYyx-ey9s5zxLLSgehmMLw7,22:31:FE:6B:06:89:1C:BB:C3:B6:94:2A:14:99:F7:44:31:AF:3A:04:96:66:39:74:69:15:57:05:4B:10:E4:A6,AAEABAAEAHIAAAAQABQACwgAAAEAAQEA9G6DVa3_pZzmFRscq7POTk-tkZkDIgDFOzz4rXsfJa_OsHy4cp7kRUrx9ulvMt1T05C3wuNA-uwL75z3m_bD4JIKjVDuuSMQoy7puatuXpVqxuXtb7-pcIuGaLhO9iqegvhu1B3IG7gMFclK3mIAknH1cjHaNOjpNmdzw_e7EltGW8MGwexNE-CRBJ53vcuSZygN2ZXF6klHyFuXRPLoQibdIxCbjnJP3ZlSj1etLZuxAtLEy9aelzNwRWvLsUBbc9wvbxPs7PB_3fUwNI1iesI_lVnWF-BoXanEyJbRLYUJyu73YESCuD5-u9mklsbzb9vzk95R8nmBlAZivHmORw,BC:3A:3D:9D:DC:51:36:1D:6B:E4:15:F7:76:17:94:DF:53:26:58:B4:70:5E:21:32:DC:E2:05:EB:E4:23:B5:B8,CK,10002,fra,TRUE,superadmin,now()
10006,Techno-243,54-BF-64-23-67-46,FB5962911687,192.168.0.424,1001,AAEACwACAHIAIINxl2dEhLP4GpDMjUal1yT9UtduBlILZPKh2hszFGmqABAAFwALCAAAAQABAQDKpAuWVwvqyWwFZ-AyS91F6ZL7gtajr9Yc6f6gf8Xlccdef_grcRWx_MSBdq84lfAKeVtYxc9hq6qux_P3mPGWr-fq2csFNdOz6e0B1hamqmcCpWMfoCtqEV_lkUCBFLAI_205iNgbOElhYZ-fdw2q4DoPQshUUEczsITUcPNu7YZ2XwmOd-Z19KMTpN4E6jCJIltH7ydqlrteVSBhcto7dqey5mD0UNMw2u_THsUYHbyhhNpyfUZWdNabsKlfYxZlrUZH8wnTEyAfmLe4R5IYTwpy6EaFOMcZLDM5yXKhL1yVXNov61Li9A93qRPnhc6KwjydWuozWxbZh9D5zh17,48:FE:C9:E0:7B:F0:23:68:67:63:26:F8:98:1A:25:FD:73:3E:DB:F5:C8:8D:E1:42:BC:46:34:88:FF:B8:73:68,AAEABAAEAHIAAAAQABQACwgAAAEAAQEA46tGn5j2rFxm5CFxRTlKH9T_Xm31FvPJroWL5Tq2i96zSRczbfV9o32qHJRTE2NaFnsDjQ_YZ5oT2rnIJB9Je6KQEfanslSp3H7Hie5hQsrCEtE8YmKDwjuBAhPZp2HqtlDGkgnK28WZHEvK49MRTV4ruh2s8jN2hf5UlxA97kveccsd4sWi9YSzSY6QouPsY6eTiPuomroiR7wJMAUcxY1F1IL1cdjiGqm5V-dWNUb2NjOOac30XHr89QUJKQglHpd2sYZGdaUrVBGXlVlpdXt_VNMHQ3ixvHByWOWHxnsMxp7Ws3h2azRHRJ62ujUMF_PIdZyYuf71wsJD2QJRmQ,F3:B1:66:91:0E:72:62:88:69:4E:FA:FC:4B:64:C0:EB:7F:1B:AE:A1:85:04:AC:31:7E:27:5D:16:B9:2A:33:09,CK,10002,fra,TRUE,superadmin,now()
