id,name,cntrtyp_code,addr_line1,addr_line2,addr_line3,latitude,longitude,location_code,contact_phone,contact_person,number_of_kiosks,working_hours,per_kiosk_process_time,center_start_time,center_end_time,lunch_start_time,lunch_end_time,time_zone,holiday_loc_code,zone_code,lang_code,is_active,cr_by,cr_dtimes,eff_dtimes
10001,Centre Enregistrement Corail,CEP,Résidence Corail,Camayenne - Commune Dixinn,Guinée,9.532308,-13.691093,01701,622227491,Tech Team,3,8:00:00,0:15:00,9:00:00,17:00:00,13:00:00,14:00:00,(GMT+00h00) GREENWICH MEAN TIME,GN,CK,fra,TRUE,superadmin,now(),now()
10002,Centre Enregistrement WURI,CEI,5ème Avenue Immeuble Yansané,Manquepas - Commune Kaloum,Guinée,9.50766,-13.708153,00801,622227491,UGP,2,7:00:00,0:15:00,10:00:00,17:00:00,13:00:00,14:00:00,(GMT+00h00) GREENWICH MEAN TIME,GN,CK,fra,TRUE,superadmin,now(),now()
